dataset_source,sequence_id,person_id,frame_index,source_fps,label_name,pose_center_weight,human_center_x,human_center_y,bbox_xmin,bbox_ymin,bbox_xmax,bbox_ymax,source_file
URFall,URFall_adl-01-cam0,person_1,137,30.0,Normal,1.0,455.801,159.94551,431.55,119.71,474.64,198.505,D:\Project\Path_prediction_clean\examples\inputs\urfall_keypoints_adl-01-cam0.xlsx
URFall,URFall_adl-01-cam0,person_1,138,30.0,Normal,1.0,455.76752,160.177,431.46,120.66,475.405,198.505,D:\Project\Path_prediction_clean\examples\inputs\urfall_keypoints_adl-01-cam0.xlsx
URFall,URFall_adl-01-cam0,person_1,139,30.0,Normal,1.0,455.7795,160.326,431.23,122.34,475.77,198.505,D:\Project\Path_prediction_clean\examples\inputs\urfall_keypoints_adl-01-cam0.xlsx
URFall,URFall_adl-01-cam0,person_1,140,30.0,Normal,1.0,455.8095,160.4095,431.2,124.345,475.89,198.505,D:\Project\Path_prediction_clean\examples\inputs\urfall_keypoints_adl-01-cam0.xlsx
URFall,URFall_adl-01-cam0,person_1,141,30.0,Normal,1.0,455.84103,160.449,431.26,125.42,477.225,198.505,D:\Project\Path_prediction_clean\examples\inputs\urfall_keypoints_adl-01-cam0.xlsx
URFall,URFall_adl-01-cam0,person_1,142,30.0,Normal,1.0,455.86697,160.7635,431.345,125.465,477.935,198.505,D:\Project\Path_prediction_clean\examples\inputs\urfall_keypoints_adl-01-cam0.xlsx
URFall,URFall_adl-01-cam0,person_1,143,30.0,Normal,1.0,455.751,161.2355,431.425,125.47,476.89,198.505,D:\Project\Path_prediction_clean\examples\inputs\urfall_keypoints_adl-01-cam0.xlsx
URFall,URFall_adl-01-cam0,person_1,144,30.0,Normal,1.0,455.55148,161.9855,431.485,125.47,474.84,198.505,D:\Project\Path_prediction_clean\examples\inputs\urfall_keypoints_adl-01-cam0.xlsx
URFall,URFall_adl-01-cam0,person_1,145,30.0,Normal,1.0,455.4435,162.37451,431.52,125.47,473.655,198.505,D:\Project\Path_prediction_clean\examples\inputs\urfall_keypoints_adl-01-cam0.xlsx
URFall,URFall_adl-01-cam0,person_1,146,30.0,Normal,1.0,455.53,162.5325,431.545,125.47,473.325,198.505,D:\Project\Path_prediction_clean\examples\inputs\urfall_keypoints_adl-01-cam0.xlsx
URFall,URFall_adl-01-cam0,person_1,147,30.0,Normal,1.0,455.73,162.05751,431.55,125.47,473.3,198.505,D:\Project\Path_prediction_clean\examples\inputs\urfall_keypoints_adl-01-cam0.xlsx
URFall,URFall_adl-01-cam0,person_1,148,30.0,Normal,1.0,456.1185,161.5355,431.55,125.47,473.285,198.505,D:\Project\Path_prediction_clean\examples\inputs\urfall_keypoints_adl-01-cam0.xlsx
URFall,URFall_adl-01-cam0,person_1,149,30.0,Normal,1.0,456.73047,160.93051,431.55,125.47,473.28,198.505,D:\Project\Path_prediction_clean\examples\inputs\urfall_keypoints_adl-01-cam0.xlsx
URFall,URFall_adl-01-cam0,person_1,150,30.0,Normal,1.0,457.1625,160.55,431.55,125.47,473.28,198.505,D:\Project\Path_prediction_clean\examples\inputs\urfall_keypoints_adl-01-cam0.xlsx
